model_key,model_label,eval,metric,value,status,source
cepo_dual_dpo,32B CEPO-Dual-2k,cepo_wrong,json_object_rate,1.0,ready,/home/fhshao/CVPR-submission/results/eval/generations/cepo_wrong_evidence_probe/backbone_transfer/qwen25vl32b/cepo_dual_dpo.metrics.json
cepo_dual_dpo,32B CEPO-Dual-2k,cepo_wrong,scored_output_rate,1.0,ready,/home/fhshao/CVPR-submission/results/eval/generations/cepo_wrong_evidence_probe/backbone_transfer/qwen25vl32b/cepo_dual_dpo.metrics.json
cepo_dual_dpo,32B CEPO-Dual-2k,cepo_wrong,parse_failure_rate,0.0,ready,/home/fhshao/CVPR-submission/results/eval/generations/cepo_wrong_evidence_probe/backbone_transfer/qwen25vl32b/cepo_dual_dpo.metrics.json
cepo_dual_dpo,32B CEPO-Dual-2k,relation_stress,overall_rejection,0.316667,ready,/home/fhshao/CVPR-submission/results/eval/generations/relation_stress_probe/backbone_transfer/qwen25vl32b/cepo_dual_dpo.metrics.json
cepo_dual_dpo,32B CEPO-Dual-2k,relation_stress,subject_object_swap_rejection,0.058333,ready,/home/fhshao/CVPR-submission/results/eval/generations/relation_stress_probe/backbone_transfer/qwen25vl32b/cepo_dual_dpo.metrics.json
cepo_dual_dpo,32B CEPO-Dual-2k,relation_stress,left_right_reversal_rejection,0.575,ready,/home/fhshao/CVPR-submission/results/eval/generations/relation_stress_probe/backbone_transfer/qwen25vl32b/cepo_dual_dpo.metrics.json
cepo_dual_dpo,32B CEPO-Dual-2k,relation_stress,false_accept_rate,0.683333,ready,/home/fhshao/CVPR-submission/results/eval/generations/relation_stress_probe/backbone_transfer/qwen25vl32b/cepo_dual_dpo.metrics.json
cepo_dual_dpo,32B CEPO-Dual-2k,relation_stress,json_object_rate,1.0,ready,/home/fhshao/CVPR-submission/results/eval/generations/relation_stress_probe/backbone_transfer/qwen25vl32b/cepo_dual_dpo.metrics.json
cepo_dual_dpo,32B CEPO-Dual-2k,relation_stress,scored_output_rate,1.0,ready,/home/fhshao/CVPR-submission/results/eval/generations/relation_stress_probe/backbone_transfer/qwen25vl32b/cepo_dual_dpo.metrics.json
cepo_dual_dpo,32B CEPO-Dual-2k,relation_stress,parse_failure_rate,0.0,ready,/home/fhshao/CVPR-submission/results/eval/generations/relation_stress_probe/backbone_transfer/qwen25vl32b/cepo_dual_dpo.metrics.json
